forecast,actual
2582.037522934204,2369.0
2138.970881252747,2006.0
2619.7244405316396,2859.0
2488.0436553968852,2258.0
1269.6853464364026,1024.0
2337.997984229282,2158.0
2193.5541486237316,2438.0
2186.4690980112605,2242.0
2115.048019859676,2002.0
2266.928245749175,2358.0
2295.4137827732075,2161.0
1037.8786113997153,1212.0
2516.4800135290075,2414.0
2360.1875341229265,2627.0
2724.246148292629,2645.0
1908.5700189835763,2037.0
2145.1525555330895,2479.0
2139.8954458209278,2093.0
976.2261073386801,968.0
2095.3350260606644,2086.0
2037.975416250426,2418.0
