forecast,actual
2505.551264346005,2369.0
2098.4901425508015,2006.0
2523.406547569482,2859.0
2372.3729472627756,2258.0
1276.559636405631,1024.0
2441.456546105311,2158.0
2462.078823699194,2438.0
2379.4745668936635,2242.0
2025.5532315123944,2002.0
2578.379137886158,2358.0
2219.6906090007847,2161.0
1196.8403518412608,1212.0
2298.072356350004,2414.0
2491.1958800742605,2627.0
2380.330867002184,2645.0
2009.9192388914055,2037.0
2470.3192218277477,2479.0
2256.0009551808466,2093.0
1273.1575443541815,968.0
2281.6445252518247,2086.0
2386.2480417465076,2418.0
