forecast,actual
2554.2724162504724,2369.0
2126.173372126344,2006.0
2459.292317984099,2859.0
2373.6392397444915,2258.0
1247.412900000392,1024.0
2438.278504686743,2158.0
2434.1853297563384,2438.0
2425.3712735056415,2242.0
1995.9634908153168,2002.0
2426.408579330079,2358.0
2317.3604765165373,2161.0
1249.651437257224,1212.0
2412.177086714013,2414.0
2479.617248116564,2627.0
2409.078032793842,2645.0
2059.7056412931815,2037.0
2538.946026664161,2479.0
2312.152331360652,2093.0
1236.3072682346399,968.0
2359.3398955578723,2086.0
2466.0425660895908,2418.0
