forecast,actual
2477.7422696914155,2369.0
2082.057668820258,2006.0
2503.886316091085,2859.0
2347.6786759351644,2258.0
1261.675731236762,1024.0
2429.447642607144,2158.0
2449.698288651895,2438.0
2338.12756229179,2242.0
2003.7890878174155,2002.0
2539.78629098937,2358.0
2141.604141335961,2161.0
1160.8877023693472,1212.0
2275.5185204308063,2414.0
2459.425641189128,2627.0
2332.5987633250916,2645.0
2037.326560253586,2037.0
2471.99853994588,2479.0
2182.406948949182,2093.0
1251.9450891275026,968.0
2278.9417942996724,2086.0
2364.403078020052,2418.0
