forecast,actual
2505.2217888929367,2369.0
2097.258536425121,2006.0
2526.133014810128,2859.0
2374.216424546415,2258.0
1276.8129317644496,1024.0
2442.3330221373335,2158.0
2465.589054502072,2438.0
2378.9503623290784,2242.0
2024.1253771930985,2002.0
2581.7565340493315,2358.0
2221.8999526139924,2161.0
1197.3857748399587,1212.0
2298.926873636557,2414.0
2495.712675704247,2627.0
2379.835309059876,2645.0
1998.1286832064368,2037.0
2491.371787364227,2479.0
2269.781907182262,2093.0
1273.5060589650443,968.0
2288.1052738947137,2086.0
2413.034764997392,2418.0
