forecast,actual
2505.2217868485077,2369.0
2097.258538771257,2006.0
2526.1330122173717,2859.0
2374.2164231018774,2258.0
1276.8129467803665,1024.0
2442.3330230808315,2158.0
2465.5890493150227,2438.0
2378.950359227443,2242.0
2024.1253787386663,2002.0
2581.756530744113,2358.0
2221.89995085782,2161.0
1197.3857896225961,1212.0
2298.9268721056596,2414.0
2495.7126724495943,2627.0
2379.835306529435,2645.0
1998.1286835251965,2037.0
2491.371782021716,2479.0
2269.781908350894,2093.0
1273.5060725149,968.0
2288.1052724576502,2086.0
2413.034759580242,2418.0
