forecast,actual
2422.388326708352,2242.0
2111.70560061387,2002.0
2474.1563846191657,2358.0
2348.1462907423884,2161.0
977.1511667866546,1212.0
2413.7069789998823,2414.0
2435.365374927997,2627.0
2468.544047104957,2645.0
1966.5970191184342,2037.0
2362.8017689687786,2479.0
2242.4750622556594,2093.0
889.1891869487276,968.0
2114.5949132909145,2086.0
2267.021369904837,2418.0
2223.314393956215,2311.0
2003.1344888965791,2377.0
1369.2065204367698,1006.0
2043.003105772,1659.0
819.4873138794565,803.0
2206.1118162258,2201.0
2252.6724397396465,1942.0
