forecast,actual
2631.999780893231,2369.0
2161.848646300232,2006.0
2558.320664776649,2859.0
2365.3914448455916,2258.0
1278.210899811294,1024.0
2412.0461623201686,2158.0
2503.548412970392,2438.0
2478.774094992509,2242.0
2068.8412372701114,2002.0
2603.395675194858,2358.0
2214.9405199437456,2161.0
1196.9941250067295,1212.0
2269.373824871133,2414.0
2524.998063723914,2627.0
2451.5968573009814,2645.0
2027.9369711461648,2037.0
2505.812651463066,2479.0
2266.1612714233256,2093.0
1272.580586676762,968.0
2266.009328670562,2086.0
2434.231135602975,2418.0
