forecast,actual
2509.5781940291863,2369.0
2103.5167394003147,2006.0
2533.832246090471,2859.0
2382.8739452612076,2258.0
1286.6678458851745,1024.0
2452.9485442810155,2158.0
2477.066251869089,2438.0
2385.143140555742,2242.0
2033.0216162407648,2002.0
2592.701244083378,2358.0
2234.2069051598382,2161.0
1211.3948434880024,1212.0
2314.0171901428694,2414.0
2512.0278903041544,2627.0
2385.841893192344,2645.0
2006.7574464027562,2037.0
2501.9874328698743,2479.0
2281.7188331151697,2093.0
1287.093923939192,968.0
2302.7418804329254,2086.0
2428.8594439087005,2418.0
