forecast,actual
2396.361703979465,2369.0
2097.4570335390877,2006.0
2555.466870630159,2859.0
2404.07559849644,2258.0
1157.954799280953,1024.0
2284.4605414816106,2158.0
2160.5583266218414,2438.0
2336.9282694466624,2242.0
2050.2709725782906,2002.0
2439.078878303239,2358.0
2221.897201532622,2161.0
991.6889890726028,1212.0
2404.80271977464,2414.0
2270.8366433897822,2627.0
2377.0948678000764,2645.0
1931.7783117604442,2037.0
2169.3606315180855,2479.0
2158.6717530151845,2093.0
981.9927024318611,968.0
2037.072513101772,2086.0
2071.5203776464655,2418.0
