forecast,actual
2505.2217923957674,2369.0
2097.258538892872,2006.0
2526.133019711012,2859.0
2374.2164223674336,2258.0
1276.8129295688987,1024.0
2442.3330266603252,2158.0
2465.5890551967414,2438.0
2378.950362659678,2242.0
2024.1253785570264,2002.0
2581.756541381266,2358.0
2221.899947689434,2161.0
1197.3857708508099,1212.0
2298.9268714881778,2414.0
2495.7126825973787,2627.0
2379.8353105290207,2645.0
1998.128681452799,2037.0
2491.371788567792,2479.0
2269.7819098239115,2093.0
1273.5060560790093,968.0
2288.1052721071987,2086.0
2413.03476557604,2418.0
