forecast,actual
2537.31594935248,2369.0
2174.277216095107,2006.0
2508.228061800988,2859.0
2397.18341751187,2258.0
1178.295281239949,1024.0
2441.5668685343603,2158.0
2470.0138994158774,2438.0
2414.756193910722,2242.0
2059.6105479963044,2002.0
2621.823051834645,2358.0
2276.7492026500877,2161.0
1239.2214807301352,1212.0
2364.0845096830067,2414.0
2529.601828152295,2627.0
2417.4204977106137,2645.0
2022.3044346829454,2037.0
2548.069539717463,2479.0
2322.4901556582963,2093.0
1303.8506736023476,968.0
2347.522632521051,2086.0
2483.3241538013312,2418.0
