forecast,actual
2505.25219066676,2369.0
2097.2263751619103,2006.0
2526.0844008000076,2859.0
2374.1750771432426,2258.0
1276.8382501457054,1024.0
2442.2613151516216,2158.0
2465.5987831864923,2438.0
2378.9358635579597,2242.0
2024.1033722376271,2002.0
2581.7335086959965,2358.0
2221.926057886147,2161.0
1197.4087144878836,1212.0
2298.9424353180266,2414.0
2495.6927183166827,2627.0
2379.8505780019823,2645.0
1998.2213872859443,2037.0
2491.3688649476453,2479.0
2269.738036199542,2093.0
1273.5066833839633,968.0
2288.099308596845,2086.0
2413.0656830691496,2418.0
