forecast,actual
2443.6025893280794,2369.0
2120.1682120344676,2006.0
2514.902775512205,2859.0
2402.6478935111318,2258.0
1136.9606489979221,1024.0
2310.238691330451,2158.0
2222.316217147671,2438.0
2385.501877171796,2242.0
2060.1851392226768,2002.0
2387.9329391547476,2358.0
2200.4035373547486,2161.0
1016.9410338643122,1212.0
2425.9623281902627,2414.0
2318.0897858131757,2627.0
2456.227824944539,2645.0
1936.2353290039769,2037.0
2168.69327483771,2479.0
2107.7243786807667,2093.0
1002.1786413683384,968.0
2029.714256863056,2086.0
2050.309789209799,2418.0
