forecast,actual
2505.2695881747613,2369.0
2097.2097970840277,2006.0
2526.0584995295867,2859.0
2374.1527126738442,2258.0
1276.8499784031737,1024.0
2442.2233610272483,2158.0
2465.6025487592015,2438.0
2378.932541010318,2242.0
2024.0910305952618,2002.0
2581.720499325753,2358.0
2221.938512983376,2161.0
1197.4197112719655,1212.0
2298.94993962571,2414.0
2495.6823956618427,2627.0
2379.855331575309,2645.0
1998.2683545220232,2037.0
2491.3679601667036,2479.0
2269.716600907826,2093.0
1273.5080272958985,968.0
2288.097553487058,2086.0
2413.0828074576084,2418.0
