forecast,actual
2484.072355421895,2369.0
2076.7412571299537,2006.0
2499.733020990488,2859.0
2365.9798359016245,2258.0
1282.6666058400867,1024.0
2414.911161828584,2158.0
2499.264963076328,2438.0
2275.8454093864384,2242.0
1971.6170806096634,2002.0
2569.911506994803,2358.0
2256.465568858044,2161.0
1203.3376662490498,1212.0
2301.103207512244,2414.0
2425.4462739574874,2627.0
2290.908647663201,2645.0
2010.3510655907908,2037.0
2509.629441019717,2479.0
2273.710120057879,2093.0
1251.4045956142047,968.0
2282.559495632706,2086.0
2325.1312649616757,2418.0
