forecast,actual
2505.2832334347286,2369.0
2097.1976661292647,2006.0
2526.038371267248,2859.0
2374.1350046219236,2258.0
1276.8601154590472,1024.0
2442.1922832147197,2158.0
2465.605646901614,2438.0
2378.931396262989,2242.0
2024.081981054352,2002.0
2581.710006239124,2358.0
2221.948416517697,2161.0
1197.4283072586982,1212.0
2298.955416193329,2414.0
2495.672962411583,2627.0
2379.8602847393827,2645.0
1998.3059431499426,2037.0
2491.365871638709,2479.0
2269.6977963896006,2093.0
1273.5083705918432,968.0
2288.09540205155,2086.0
2413.0965092387287,2418.0
