forecast,actual
2505.2887559995725,2369.0
2097.1925991637167,2006.0
2526.030662042234,2859.0
2374.1279590795425,2258.0
1276.8647037248932,1024.0
2442.1794424648906,2158.0
2465.607167225151,2438.0
2378.9305352945144,2242.0
2024.0787642754408,2002.0
2581.7061848656363,2358.0
2221.9528035818257,2161.0
1197.4319488244205,1212.0
2298.9577964656783,2414.0
2495.6690067853306,2627.0
2379.862410742904,2645.0
1998.3220234078117,2037.0
2491.364416972261,2479.0
2269.6895227335635,2093.0
1273.5081555757322,968.0
2288.094257945095,2086.0
2413.1020339742895,2418.0
