forecast,actual
2530.9731616680356,2369.0
2130.331986593105,2006.0
2564.547355978043,2859.0
2415.390261377983,2258.0
1321.2105045250942,1024.0
2490.2397465133245,2158.0
2514.2712666090415,2438.0
2409.102526873645,2242.0
2062.850926057438,2002.0
2626.7357079811727,2358.0
2270.1102099014506,2161.0
1249.370682941687,1212.0
2355.0206348780143,2414.0
2552.714456729524,2627.0
2410.984339880236,2645.0
2038.1345420859757,2037.0
2537.8380235120703,2479.0
2319.5860538630304,2093.0
1327.2096439343536,968.0
2346.053559629522,2086.0
2471.9210892280153,2418.0
